id,name,game,follower_count,avg_viewers
453,Myth,GTA V,1825627,1382
454,Shroud,Minecraft,3156408,9577
455,Rubius,World of Warcraft,8107233,25105
456,Asmongold,World of Warcraft,2478919,12539
457,Summit1G,Apex Legends,7950227,17223
458,Summit1G,World of Warcraft,1097281,41326
459,Ninja,League of Legends,4634029,42111
460,Shroud,Counter-Strike,8603214,3009
461,Myth,Minecraft,5793976,21548
462,Pokimane,Apex Legends,8752292,23729
463,Ninja,Minecraft,1966027,1396
464,Myth,Call of Duty,3826777,21419
465,Shroud,GTA V,2868214,40880
466,Summit1G,League of Legends,4243849,6742
467,Tfue,Valorant,1098400,44668
468,DrDisrespect,Fortnite,8401416,26330
469,Myth,Fortnite,4002863,2559
470,Myth,Minecraft,1905736,32669
471,Summit1G,Dota 2,4480806,33326
472,xQc,World of Warcraft,1470032,19284
473,Tfue,League of Legends,9686439,27136
474,Ninja,League of Legends,4508957,39460
475,DrDisrespect,World of Warcraft,8322912,4658
476,Summit1G,GTA V,3293336,7140
477,Shroud,Minecraft,1615592,8906
478,Pokimane,GTA V,3912702,6390
479,Tfue,Valorant,2070430,49359
480,Pokimane,World of Warcraft,3712976,21430
481,Rubius,Dota 2,3702974,9977
482,Summit1G,Dota 2,7107404,10030
483,xQc,Valorant,3537365,28159
484,Pokimane,World of Warcraft,9816675,35243
485,Tfue,World of Warcraft,5056465,1659
486,Tfue,Fortnite,3829069,8397
487,Shroud,Fortnite,2473939,11643
488,Tfue,GTA V,6205069,12421
489,Asmongold,World of Warcraft,5463697,42487
490,xQc,Dota 2,8828750,47854
491,Myth,Call of Duty,6196260,25091
492,Rubius,Valorant,5072585,14480
493,Shroud,World of Warcraft,5988994,26044
494,Asmongold,Valorant,8535718,48503
495,DrDisrespect,Fortnite,8674137,24036
496,Asmongold,Apex Legends,2232148,19735
497,Asmongold,Valorant,9812856,26942
498,Summit1G,Counter-Strike,5451771,31097
499,Summit1G,Counter-Strike,986656,33195
500,Summit1G,Valorant,2270891,39687
501,Shroud,GTA V,5753454,4660
502,xQc,Valorant,5855453,27906
503,Asmongold,Apex Legends,4285904,21588
504,Myth,Apex Legends,990144,46344
505,Asmongold,League of Legends,6687001,39832
506,Asmongold,Valorant,2980634,17489
507,Tfue,Fortnite,2109261,45053
508,xQc,Valorant,8104348,28824
509,Ninja,Minecraft,4053596,24354
510,Summit1G,Fortnite,4318602,44968
511,Summit1G,GTA V,9665220,21897
512,DrDisrespect,Dota 2,3187772,10259
513,Shroud,GTA V,1788827,2600
514,Pokimane,Dota 2,8217500,36061
515,Summit1G,Minecraft,583552,39115
516,Ninja,Apex Legends,7825185,10417
517,Ninja,League of Legends,1908917,4066
518,Shroud,Counter-Strike,3772781,9905
519,Asmongold,Fortnite,8402508,9462
520,Pokimane,Call of Duty,6628302,24721
521,Shroud,Valorant,2847233,16269
522,DrDisrespect,Dota 2,4368433,22793
523,Myth,Fortnite,1501156,29099
524,Myth,Valorant,8201110,15280
525,Shroud,Apex Legends,7961812,44226
526,Myth,League of Legends,4860610,49806
527,Ninja,League of Legends,4443598,43559
528,Myth,Counter-Strike,8598131,17545
529,Pokimane,Dota 2,9877923,3086
530,Tfue,GTA V,4642940,13250
531,DrDisrespect,Fortnite,6615631,3525
532,Summit1G,Dota 2,5918591,25933
533,Tfue,Valorant,279113,6655
534,Rubius,Minecraft,1454164,6342
535,Myth,Dota 2,8092892,30568
536,Rubius,League of Legends,6176963,33861
537,Shroud,Dota 2,1103370,21722
538,DrDisrespect,Dota 2,5427974,4864
539,Summit1G,Fortnite,6195782,23789
540,Rubius,Minecraft,4802262,22403
541,Pokimane,Counter-Strike,9205585,41563
542,xQc,Valorant,881873,48224
543,Shroud,World of Warcraft,7676637,30723
544,Rubius,Apex Legends,3366825,32044
545,Myth,Dota 2,3416986,30868
546,Pokimane,Call of Duty,7085052,8030
547,xQc,Valorant,8222541,36544
548,Pokimane,Minecraft,8976139,15605
549,Summit1G,Call of Duty,9646549,7168
550,Tfue,League of Legends,9996476,14116
551,Summit1G,Fortnite,8969766,29032
552,Summit1G,GTA V,5116997,12048
553,Asmongold,World of Warcraft,8993629,42456
554,Myth,Apex Legends,6630840,33631
555,Shroud,Counter-Strike,5257550,21004
556,Asmongold,Counter-Strike,5774271,40228
557,Pokimane,GTA V,2971111,49757
558,Myth,Dota 2,4968757,4799
559,Rubius,Minecraft,1735565,49752
560,Pokimane,Call of Duty,9603876,18779
561,Asmongold,GTA V,8832193,6177
562,Summit1G,Minecraft,7461154,11837
563,Asmongold,League of Legends,4429685,28269
564,Myth,League of Legends,849669,34209
565,Asmongold,World of Warcraft,1628992,40697
566,Summit1G,World of Warcraft,4104921,45543
567,Ninja,Minecraft,1264178,15723
568,DrDisrespect,Valorant,635604,23564
569,Shroud,Counter-Strike,1672830,39442
570,Pokimane,Fortnite,2912571,3503
571,DrDisrespect,Dota 2,1980199,3342
572,Myth,Call of Duty,9553927,41324
573,Summit1G,Fortnite,937651,27342
574,Ninja,Valorant,5659590,49619
575,Tfue,Call of Duty,5110164,13301
576,Asmongold,Counter-Strike,6536308,3837
577,Rubius,Counter-Strike,2296889,29412
578,Summit1G,Call of Duty,6303960,47298
579,Shroud,Counter-Strike,6708950,26072
580,Myth,Dota 2,7708279,19184
581,Myth,Call of Duty,699956,8724
582,Pokimane,Fortnite,3802700,24283
583,Asmongold,GTA V,3431412,46184
584,Myth,Apex Legends,6179134,36921
585,Summit1G,Fortnite,504310,13800
586,Rubius,Valorant,4350550,27756
587,Asmongold,League of Legends,2304116,47366
588,Shroud,Call of Duty,669276,34826
589,Summit1G,Fortnite,9080027,18125
590,Tfue,Call of Duty,6933155,9165
591,Pokimane,World of Warcraft,9638734,12619
592,Rubius,World of Warcraft,8210619,40888
593,Rubius,GTA V,4233520,7465
594,Myth,Apex Legends,9326403,27564
595,Ninja,World of Warcraft,343124,36544
596,Tfue,Fortnite,6001310,20275
597,DrDisrespect,World of Warcraft,8907398,18586
598,Summit1G,Counter-Strike,6028638,47878
599,Ninja,Apex Legends,9047823,31076
600,Shroud,World of Warcraft,9473937,31372
601,Tfue,Valorant,6554071,7786
602,Rubius,Apex Legends,4611109,20702
603,Myth,Minecraft,7952174,25505
604,Myth,GTA V,718983,37892
605,Rubius,Minecraft,5527127,45293
606,Rubius,Call of Duty,5679867,18850
607,Pokimane,Fortnite,7952383,7840
608,xQc,League of Legends,9901311,36081
609,Ninja,Counter-Strike,7020751,29586
610,Asmongold,Dota 2,7374504,10979
611,Summit1G,Dota 2,3486582,46721
612,Asmongold,League of Legends,5203758,40407
613,Tfue,Apex Legends,451551,47688
614,Myth,Apex Legends,5151690,2336
615,Shroud,Apex Legends,8048474,49788
616,Asmongold,Fortnite,178551,29099
617,Asmongold,League of Legends,1948683,881
618,DrDisrespect,GTA V,2278510,46449
619,Rubius,Apex Legends,4546429,43200
620,xQc,Fortnite,3797642,11100
621,xQc,Call of Duty,7637881,23452
622,Shroud,Fortnite,3607968,26288
623,Myth,Minecraft,9766704,33278
624,Rubius,World of Warcraft,3550200,16408
625,Asmongold,Dota 2,1624177,31168
626,xQc,Counter-Strike,8697727,27293
627,Asmongold,Counter-Strike,6982038,6651
628,Summit1G,Call of Duty,3058617,7789
629,Pokimane,Call of Duty,1433957,20579
630,xQc,Fortnite,4432632,9951
631,Tfue,Call of Duty,5769010,40545
632,Asmongold,Fortnite,143199,24274
633,xQc,GTA V,6700095,33167
634,DrDisrespect,Dota 2,3230353,49260
635,Summit1G,Counter-Strike,8026288,39707
636,xQc,Dota 2,1504979,21168
637,Myth,Call of Duty,8134900,42862
638,Ninja,League of Legends,3901621,28867
639,Myth,Call of Duty,255735,10956
640,Asmongold,Apex Legends,4146761,9744
641,Summit1G,Minecraft,1008923,19425
642,DrDisrespect,Counter-Strike,9931891,26220
643,Shroud,League of Legends,2490414,4093
644,Rubius,Dota 2,2521827,28470
645,Tfue,Apex Legends,5064191,12870
646,Tfue,League of Legends,1532681,23844
647,Myth,League of Legends,7333676,13942
648,Myth,Call of Duty,5909315,27766
649,Summit1G,Fortnite,2828522,45712
650,Asmongold,Fortnite,7567725,46263
651,Summit1G,Counter-Strike,1647991,5162
652,Shroud,Valorant,4770797,1433
653,Shroud,GTA V,4637926,29114
654,Ninja,GTA V,9338206,32139
655,Ninja,Counter-Strike,5228769,20170
656,Tfue,Call of Duty,2249556,4682
657,Ninja,World of Warcraft,4944233,11720
658,Rubius,World of Warcraft,7632391,48746
659,Asmongold,Apex Legends,3397943,27493
660,Pokimane,Counter-Strike,6472760,25355
661,Shroud,Call of Duty,6212773,35427
662,Asmongold,Dota 2,2494774,21614
663,DrDisrespect,Fortnite,369022,17343
664,xQc,Minecraft,6702212,1632
665,Asmongold,Minecraft,6084108,25636
666,Myth,Call of Duty,1169956,17773
667,Shroud,World of Warcraft,2372514,28750
668,Pokimane,Valorant,2891894,24073
669,Tfue,League of Legends,3844891,2657
670,Ninja,League of Legends,1019867,8397
671,DrDisrespect,League of Legends,6140692,37284
672,Tfue,League of Legends,9710709,28396
673,Shroud,Apex Legends,1178580,41463
